run_name,purpose,task,condition,model,reasoning_effort,codex_version,score,max_score,workspace_command_calls,workspace_output_bytes,workspace_output_bytes_reliable,workspace_metric_coverage_complete,workspace_metric_unmeasured_tool_calls,workspace_mcp_tool_calls,workspace_mcp_output_bytes,elapsed_seconds,input_tokens,cached_input_tokens,output_tokens,reasoning_output_tokens
formal-03-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,10.243,20709,19200,538,159
formal-04-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,3628,True,True,0,0,0,10.122,21097,19072,666,374
formal-04-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,575,True,True,0,0,0,10.607,20616,19200,502,292
formal-04-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,3,4733,True,True,0,0,0,14.858,33248,30720,917,551
formal-04-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,817,True,True,0,0,0,13.982,31145,29568,626,354
formal-04-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,11.358,21087,19072,654,294
formal-04-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,11.614,20793,19328,776,378
formal-05-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,3628,True,True,0,0,0,10.035,21124,19072,646,353
formal-05-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,575,True,True,0,0,0,9.075,20477,19072,380,116
formal-05-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,4929,True,True,0,0,0,17.078,33352,30720,1074,789
formal-05-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,3,811,True,True,0,0,0,13.596,31192,29568,705,404
formal-05-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,10.282,21072,19072,662,341
formal-05-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,9.835,20626,19072,503,184
formal-06-current-task-baseline,formal run,current-task,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,2,4236,True,True,0,0,0,17.388,32258,29824,1339,895
formal-06-current-task-layered,formal run,current-task,layered,deepseek-v4-flash,max,codex-cli 0.146.1,5,5,1,575,True,True,0,0,0,10.806,20643,19328,636,365
formal-06-reference-retrieval-baseline,formal run,reference-retrieval,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,2,4706,True,True,0,0,0,12.291,32996,30464,575,303
formal-06-reference-retrieval-layered,formal run,reference-retrieval,layered,deepseek-v4-flash,max,codex-cli 0.146.1,8,8,5,1184,True,True,0,0,0,17.057,31768,30080,1188,760
formal-06-stable-rules-baseline,formal run,stable-rules,baseline,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,3628,True,True,0,0,0,10.701,21060,19072,755,386
formal-06-stable-rules-layered,formal run,stable-rules,layered,deepseek-v4-flash,max,codex-cli 0.146.1,10,10,1,1193,True,True,0,0,0,12.372,20825,19328,875,530
